web-scraper-order,web-scraper-start-url,nama,kewarganegaraan,tipe_pelanggan,tipe_kamar,rating,judul_review,deskripsi,tanggal_review,periode_menginap
1745475234-2183,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Yoeli,Indonesia,Keluarga dengan anak kecil,,"7,0",“Great but not good in food”,Good hotel but not the food,Diulas pada 16 Juni 2014,Menginap 1 malam pada Januari 2014
1745475234-2184,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Witold,Inggris,Wisatawan bisnis,,"6,7",“Comfortable and friendly”,"This was a wonderful hotel, decorated throughout with beautiful pieces of Javanese and Balinese works of art, garden features and the like.  Visually, and artistically, quite stunning. And at night, the central gardens area is laid out and lit beautifully as a multi-stall local market food centre.  Quite excellent.  The room was adequately large, the bathroom also large, whilst the satellite tv selection of channels and wifi was satisfactory. I did have trouble accessing wifi on my smart phone. Staff were friendly and helpful, and all-in-all, this is a hotel I would definitely come back to",Diulas pada 15 Juni 2014,Menginap 2 malam pada Juni 2014
1745475234-2185,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,esther,Indonesia,Wisatawan bisnis,,"9,7",“Old but luxury hotel”,Great and very comfortable . Nice to come here again if they have good internet connection,Diulas pada 15 Juni 2014,Menginap 2 malam pada Juni 2014
1745475234-2186,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rinto,Indonesia,Pasangan,,"8,0",“Nice hotel”,Best hotel in Surabaya,Diulas pada 14 Juni 2014,Menginap 1 malam pada April 2014
1745475234-2187,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Kamphol,Thailand,Wisatawan bisnis,,"8,0","“It was a good choice, the Club was great”","The place here is the former Hyatt, the staffs are good, there is a Japanese Restaurant that serves good food. The Club Floor is GREAT of it's value as well as for it's staffs. I would give the Club Floor staffs an A+. Overall, the hotel is large and nice, there should be more activities available. The pool was good as well as the massage. The room was exception.",Diulas pada 10 Juni 2014,Menginap 2 malam pada Januari 2014
1745475234-2188,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Arunswat,Indonesia,Wisatawan tunggal,,"8,7",“It has every reason for coming back”,This is definitely one of the best hotel in Surabaya. I only stay there for one night so not much interact with the staff but the hotel is very nice with spacious bedroom and nice garden. Next to the hotel is the office of one Indonesia's airline so I can do city check in easily. I'm so coming back to this hotel whenever I travel to Surabaya.,Diulas pada 04 Juni 2014,Menginap 1 malam pada Mei 2014
1745475234-2189,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Tantu,Indonesia,Pasangan,,"10,0",“The room ambiance and garden are gorgeous.”,"The room is awesome, very relaxing aroma, great food especially nasi goreng during breakfast!",Diulas pada 29 Mei 2014,Menginap 1 malam pada Mei 2014
1745475234-2190,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Chang,Republik Rakyat Tiongkok,Wisatawan bisnis,,"8,0",“Good Staying nice room and nice staff”,can be 8.5 points for 10,Diulas pada 26 Mei 2014,Menginap 2 malam pada Februari 2014
1745475234-2191,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,novy,Indonesia,Wisatawan bisnis,,"6,7",“good design”,"Hotel staff was very welcoming, check-in/out was smooth. My room was equipped with everything I needed, it was clean and comfortable.",Diulas pada 24 Mei 2014,Menginap 1 malam pada April 2014
1745475234-2192,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Marini,Malaysia,Wisatawan bisnis,,"10,0",“Beautiful Resort Hotel”,"This is by far the best hotel we ever stayed. Beautiful gardens, spacious awesome room, food is awesome. The ambience and surrounding is gorgeous. Suitable for holiday and business trip. We had a pleasant stay. Totally recommended! Thank you Bumi Surabaya City Resort :)",Diulas pada 22 Mei 2014,Menginap 1 malam pada April 2014
1745475234-2193,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,LIOE,Indonesia,Wisatawan bisnis,,"8,3",“Very good”,Enjoyable,Diulas pada 22 Mei 2014,Menginap 1 malam pada Mei 2014
1745475234-2194,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rudy,Amerika Serikat,Keluarga dengan anak kecil,,"8,0",“Luxury hotel with traditional touch”,"Overall, it was a good stay.",Diulas pada 21 Mei 2014,Menginap 2 malam pada Januari 2014
1745475234-2195,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Samuel,Indonesia,Pasangan,,"8,7",“nice in everything except SLOW wifi speed”,"pros :
everything was good, the staff very friendly, the food is delicious especially there's special offer in this month for buffet, only Rp 145.000 for 3 restaurant (japanese, indonesian and asian food restaurant), the garden was beautiful and relaxing.. 

cons :
wifi internet access really really slow in room... we must pay around 100k rupiahs for premium faster internet access, I think with the hotel price, the internet access must be FREE facilites..",Diulas pada 12 Mei 2014,Menginap 1 malam pada Mei 2014
1745475234-2196,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Natalia,Indonesia,Keluarga dengan anak kecil,,"7,7",“Nice and comfortable hotel”,We are happy stay there. My son likes the breakfast very much. We will stay at this hotel again another time.,Diulas pada 02 April 2014,Menginap 1 malam pada Maret 2014
1745475234-2197,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Honny,Indonesia,Keluarga dengan anak kecil,,"8,0",“Nice hotel”,"The room is nice and clean though a bit older, children love the garden, near to shopping mall Tunjungan Plaza",Diulas pada 02 April 2014,Menginap 1 malam pada Juni 2013
1745475234-2198,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Chen,Malaysia,Wisatawan bisnis,,"5,7",“Standard hotel service”,"just a one night stay, nothing much can share. Room is spacious , what satisfied me is the efficiency to get a taxi",Diulas pada 19 Maret 2014,Menginap 1 malam pada Februari 2014
1745475234-2199,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Danaparamita,Indonesia,Keluarga dengan anak dewasa,,"9,3",“good breakfast i love it”,,Diulas pada 08 Maret 2014,Menginap 2 malam pada Maret 2014
1745475234-2200,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rajesh,India,Wisatawan bisnis,,"10,0",“One of the best hotel as of now I stayed since .”,"It was memorable stay in Jotel Bumi.
There is no complains .",Diulas pada 05 Maret 2014,Menginap 1 malam pada Februari 2014
1745475234-2201,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Lilho,Indonesia,Wisatawan bisnis,,"5,3",“comfortable and nice hotel”,Great hotel and great food but poor internet wifi and signal,Diulas pada 21 Februari 2014,Menginap 1 malam pada Februari 2014
1745475234-2202,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,michael,Kanada,Wisatawan bisnis,,"7,0",“Perfectly adequate hotel accommodations”,We enjoyed our stay in the Hotel Bumi and the quality of service and the accommodations were commensurate with a fine hotel catering to business travelers. We hope to stay there again when we have business in Surabaya.,Diulas pada 17 Februari 2014,Menginap 1 malam pada Februari 2014
1745475234-2203,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Paul,Indonesia,Pasangan,,"9,7",“Excellent”,"The stay was amazing, great food, friendly staff, fast internet connection and good surrounding",Diulas pada 13 Februari 2014,Menginap 2 malam pada Februari 2014
1745475234-2204,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Purwanta,Indonesia,Pasangan,,"8,0",“Comfartable and enjoy the food”,No worries I enjoy stayed in this hotel. I recommend this hotel to my colleagues who want to travel to Surabaya.,Diulas pada 06 Februari 2014,Menginap 2 malam pada Januari 2014
1745475234-2205,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Vijayakumar,Singapura,Pasangan,,"10,0",“Great breakfast and large room”,,Diulas pada 01 Februari 2014,Menginap 3 malam pada Januari 2014
1745475234-2206,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Kamphol,Thailand,Wisatawan bisnis,,"8,0",“Love the Club Floor”,"First time in Surabaya, like this hotel, friendly staffs, GREAT Club floor staffs, like the varieties available at the club floor. The lobby was beautiful, love the restaurant selectios. Need to improve the staff at the health club, needs to give more attention to the guest, I booked the spa and have no idea where to go, the staff just pointed so we got lost walking around in the rain. Other than the health club staff, all was great!",Diulas pada 31 Januari 2014,Menginap 1 malam pada Januari 2014
1745475234-2207,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,John,Indonesia,Wisatawan bisnis,,"9,7",“Excellent”,"Satisfied, staff was all very friendly. Classy lobby, good for business meetings.",Diulas pada 23 Januari 2014,Menginap 1 malam pada Januari 2014
1745475234-2208,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Fendy,Indonesia,Wisatawan bisnis,,"9,3","“Perfect Location, Perfect Room, Perfect Breakfast”",,Diulas pada 19 Januari 2014,Menginap 1 malam pada Januari 2014
1745475234-2209,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Indra,Indonesia,Wisatawan bisnis,,"9,3",“great place to stay”,"Great place  to stay both for business  trip and family vacation. Largeand comgort room, nice view, large bathroom. Really enjoy my stay.",Diulas pada 12 Januari 2014,Menginap 1 malam pada Januari 2014
1745475234-2210,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Chih-Yang,Taiwan,Keluarga dengan anak kecil,,"6,7","“Good Hotel, not so good food selection”","I stayed in a Junior Suite for the New Years eve.  The view was exceptional with the wall to wall window.  The room was large and comfortable.  The hotel is well decorated, with large garden.  The only thing that put me off was the hotel wanted to charge US$35+ for regular Indonesian food if we wanted to order in.  You can get those food for $5 in regular restaurant, or $10 in other 4/5 star hotels.  I know it's New Year eve and the hotel want to make some money, but the price is just highway robbery and I can't believe a high end hotel like this would want to make a few buck but completely destroy customer service or perception of the hotel.  But other then that, the Hotel is satisfactory.",Diulas pada 06 Januari 2014,Menginap 1 malam pada Desember 2013
1745475234-2211,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,HADI,Indonesia,Keluarga dengan anak kecil,,"8,7",“Five star hotel with 3 star room rate”,"I like to stay there because the hotel locate at the most busiest main road at Surabaya.
It's near from anywhere.
And the room rate is Worthed.",Diulas pada 05 Januari 2014,Menginap 1 malam pada Desember 2013
1745475234-2212,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Andi,Indonesia,Wisatawan bisnis,,"8,3",“great value for money hotel”,"great hotel... nice staff.. centrally located.
hotel staff will show you way to your point of interest",Diulas pada 05 Januari 2014,Menginap 1 malam pada Oktober 2013
1745475234-2213,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Joo,Malaysia,Wisatawan bisnis,,"9,3",“Nice hotel with javanese deoo and well maintained”,It's a very pleasant stay. The staffs are friendly (from concierge to front desk). Even it's an old hotel but well maintained to keep their standard. Overall is good.,Diulas pada 26 Desember 2013,Menginap 1 malam pada Oktober 2013
1745475234-2214,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Ricardo,Indonesia,Wisatawan bisnis,,"8,0",“clean”,,Diulas pada 14 Desember 2013,Menginap 1 malam pada Oktober 2013
1745475234-2215,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Mike,Indonesia,Wisatawan bisnis,,"8,0",“NIce Room with affordable price ”,"Room was good with good size, but need renovation coz look to old specialy the carpet.
Good breakfast with many option.",Diulas pada 10 Desember 2013,Menginap 2 malam pada November 2013
1745475234-2216,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,hiong,Malaysia,Pasangan,,"8,0","“the hotel is big, nice garden and swimming pool”","the hotel is big with nice room and big bathroom, the pool is nice, the hotel has 4 nice restaurant. i like the breakfast, they has nice staff and service.",Diulas pada 24 November 2013,Menginap 2 malam pada November 2013
1745475234-2217,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,David,Australia,Pasangan,,"8,0",“Fabulous Hotel! Recommended!”,We stayed just a night here to celebrate our wedding anniversary and we weren't disappointed. It's a very nice hotel with excellent rooms. We also enjoyed our swim even though the weather was very wild at the time! They have an excellent variety of choices in their breakfast spread. We would love to stay here again.,Diulas pada 03 November 2013,Menginap 1 malam pada Maret 2013
1745475234-2218,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,fan,Republik Rakyat Tiongkok,Wisatawan bisnis,,"8,0",“big room clean and good quantity service”,it.s a nice trip for busniess. the hotel is close to city area. and easy to find food there.,Diulas pada 01 November 2013,Menginap 1 malam pada September 2013
1745475234-2219,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Ardian,Indonesia,Wisatawan bisnis,,"8,0",“Excellent ... Will be right back”,,Diulas pada 30 Oktober 2013,Menginap 1 malam pada Oktober 2013
1745475234-2220,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Zulham,Malaysia,Wisatawan tunggal,,"9,0",“one night stay in bumi surabaya”,"the hotel is marvelous. big size room, clean, comfortable and five star staff performace services.
start when i check in untill i check out. for me their staff really know how to greet their guest.
breakfast food was owesome. so many variety and value for money.",Diulas pada 30 Oktober 2013,Menginap 1 malam pada Oktober 2013
1745475234-2221,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,arie,Indonesia,Wisatawan bisnis,,"8,0",“good to stay there”,i will stay there wenn i go to surabaya. nice clean and good service,Diulas pada 29 Oktober 2013,Menginap 2 malam pada Oktober 2013
1745475234-2222,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Cindy,Indonesia,Keluarga dengan anak dewasa,,"10,0",“Great Stay”,"It was Great. The Hotel Staffs were friendly and attentive. The breakfast was great since they serve you with a lot of traditional & International foods. What i like the most is the Bed. It was Big and Comfy. There's a Big Large window with a city view. The bathroom was really good with a seperate bathtub & Shower. Near Lobby area they have Relaxing Garden. This Hotel also near shoppping malls. Would recommend this hotel for Business, Couple and Family.",Diulas pada 28 Oktober 2013,Menginap 2 malam pada Oktober 2013
1745475234-2223,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Eko,Indonesia,Wisatawan tunggal,,"7,7","“Overall the placa is good and so  quiet,”",Hav a wifi but i can't us it and when i call customer service no eno come....,Diulas pada 24 Oktober 2013,Menginap 1 malam pada Oktober 2013
1745475234-2224,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,calvin,Indonesia,Wisatawan bisnis,,"10,0",“TOP NOTCH HOTEL”,"My stay was very short (one day only), but it was great. Very nice accomodation and also a very good price as well for a quality five stars hotel's rates comparing to others around the city. One of the best hotel in Surabaya. Very recommended for travellers. TOP NOTCH!",Diulas pada 23 Oktober 2013,Menginap 1 malam pada Oktober 2013
1745475234-2225,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Evelyn,Indonesia,Wisatawan bisnis,,"9,0",“Peacefullness in the middle of city area”,"It was a nice stay, with the calmness of the hotel, it didn't feel like we're in the middle of city area. The room was big and comfort.",Diulas pada 16 Oktober 2013,Menginap 1 malam pada Oktober 2013
1745475234-2226,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Ryan,Indonesia,Keluarga dengan anak kecil,,"7,7",“Great stay at an affordable price. Bad room design”,"the front desk was pleasant, room is huge and bathroom is exceptionally lux. They have a full gym facility with Saunas, Jacuzzi and SPA, and they even have two swimming pools located at the third floor. Breakfast is superb and will feel more like a lunch buffet for the varieties offered. Hotel location is on the Basuki Rahmat street which is essentially the centre of Surabaya. The only hitch is the design of the room. Apparently the bed was located right in the front of the Air Con, which is not realy nice. I spent all night trying to adjust the air con to not hitting my face directly. the room albeit huge, felt like they were not designed properly. Furnitures are at odd places and the room felt like empty instead of useful.

I reserved the hotel at a fraction of the standard listed price, and I will recommend at the said price",Diulas pada 15 Oktober 2013,Menginap 1 malam pada Oktober 2013
1745475234-2227,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,ACHMAD,Indonesia,Wisatawan tunggal,,"6,3",“nice hotel”,it is a nice and clean hotel which has good location to the center city in Jogjakarta,Diulas pada 15 Oktober 2013,Menginap 2 malam pada Juli 2013
1745475234-2228,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Randy,Indonesia,Wisatawan bisnis,,"7,7","“Good Location, Clean Room. thats all i need”",,Diulas pada 15 Oktober 2013,Menginap 2 malam pada Oktober 2013
1745475234-2229,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Peter,Inggris,Pasangan,,"10,0",“Superb ambience in a city hotel”,"Our stay at Hotel Bumi in the central business district of Surabaya provided one of the most pleasant business visits to this city I have experienced for a long time. The restaurants provided an excellent range of food from Japanese, to Indonesian to western style cuisine, all of them with top quality products at very reasonable prices, served in a friendly and competent manner. What more could one ask for. We relaxed and exercised in the large pool situated on the third floor away from the noise of the city streets enjoying a cooling breeze and building a good appetite for the buffet breakfast. We enjoyed an excellent night's rest in the well appointed rooms with superbly comfortable mattress. I would recommend Hotel Bumi to all my friends as an excellent centre within easy reach of the main business and shopping centres of Surabaya. Within the hotel one can relax and enjoy luxury at very moderate prices for such quality.",Diulas pada 11 Oktober 2013,Menginap 1 malam pada Oktober 2013
1745475234-2230,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Budi,Indonesia,Wisatawan bisnis,,"5,7",“Big room”,"It's located in the central city, but the hotel is old, no improvement.",Diulas pada 07 Oktober 2013,Menginap 2 malam pada Oktober 2013
1745475234-2231,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rizki,Indonesia,Wisatawan bisnis,,"8,3",“So far is never disappointed”,"i stayed there for business purposes, so i wasn't really keen of paying attention to each details of the hotel. but, so far i've stayed there, never been disappointed me.",Diulas pada 26 September 2013,Menginap 1 malam pada September 2013
1745475234-2232,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Nick,Australia,Pasangan,,"5,3",“Not What I was Expecting”,"Our first night we arrived late and tried to get a drink and something to eat, only to find that the bars in the hotel are no longer open for business, furthermore we found a maggot, still alive and moving in our fried rice. Hard to recover from that. As the hotel seems to rate itself as five star ther service was lacking. I would have assumed that at a five star hotel there would be someone to help get your bags out of the car. I would have also assumed that you would be able to get something to eat and drink while you were at the pool. Not the case. WIFI was bad as you had to log on every 5 mins, which made it next to useless. Not that I was interested in playing squash but I noticed the hotel advertises squash courts and tennis courts. The squash courts had big holes in the floor and were used as storage space and afer asking about the tennis court, I found at that they had no tennis balls.....no racquets.....no net. So basically they hada big concrete slab that was painted nice colours. Again I was not really interested in playing tennis, but this shows that the hotel seriously over rates itself. Not five star. They did not advertise food without maggots but I thought that would have been a give. Go to Shangrila.",Diulas pada 26 September 2013,Menginap 3 malam pada September 2013
1745475234-2233,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Tung,Singapura,Wisatawan bisnis,,"7,7",“Great ”,Everything is good except the room is always smoky smell. Aircon is not adjustable except the temperature. Need some renovation,Diulas pada 23 September 2013,Menginap 1 malam pada September 2013
1745475234-2234,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Phil,Singapura,Wisatawan bisnis,,"10,0",“Big clean room with great location”,"The only thing i want to highlight is the latency of the free WIfI. 
Being a business traveler, high speed WIFI is required and necessary.",Diulas pada 17 September 2013,Menginap 3 malam pada September 2013
1745475234-2235,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Zulham,Malaysia,Wisatawan tunggal,,"8,0",“short stay with a nice room hotel and spacious”,stay was short. hotel staff is really good helper.,Diulas pada 13 September 2013,Menginap 1 malam pada September 2013
1745475234-2236,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Yudha,Indonesia,Keluarga dengan anak kecil,,"9,7",“A truly amazing five star hotel!”,"we stay during Idul Fitri and experience malam takbiran , we experience shalat Ied also close nearby the hotel, the location is great, its near Tunjungan Plaza, and every important nostalgia places for me and family.. the only minor incident was only the toilet flush that didnt work at start but the engineering staff solve the problem quiet fast :).. but actually Me, wife and kid daughter really love this hotel, well for a suggestion maybe it would be nice & better service if the security staff could also wash my car in the parking lot :)",Diulas pada 19 Agustus 2013,Menginap 3 malam pada Agustus 2013
1745475234-2237,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,ratri,Indonesia,Pasangan,,"8,3",“I will stay here again!”,"It was great, it has strategic location, near to shopping centre, has nice garden, superb room services.",Diulas pada 14 Agustus 2013,Menginap 1 malam pada Agustus 2013
1745475234-2238,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Kar,Malaysia,Wisatawan bisnis,,"7,7",“Great stay”,"Friendly staff, lemongrass scent filled the air, traditional music, clean and spacious room, comfy bed to welcome you after a tiring day",Diulas pada 30 Juli 2013,Menginap 2 malam pada Juli 2013
1745475234-2239,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Nicolas,Indonesia,Wisatawan bisnis,,"9,0",“comfort 5star hotel”,That was my first time stayed at Bumi Surabaya hotel as business travelers. Hotel is big and located at Surabaya city center. Check in was fast and the lobby is large with aromatic aroma. Garden was huge and well maintain. Room and bathroom both was large but it looks old. The hotel have complete facilities and many restaurant with good taste of food. Breakfast was great with many variation. At night dinner outdoor dinner buffet with traditional food was excellent. Service was good and lots of smiles.,Diulas pada 29 Juli 2013,Menginap 1 malam pada Juli 2013
1745475234-2240,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Niyi,Australia,Pasangan,,"8,0",“Old fashioned charm!”,"My stay at Bumi Surabaya was comfortable.  Reception staff were courteous and the room was well designed.  However, wi-if Internet was slow and the bed was too soft for me, which resulted in some back pain in the morning!  Breakfast was fantastic and surrounding gardens were superb",Diulas pada 21 Juli 2013,Menginap 1 malam pada Juli 2013
1745475234-2241,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,I,Indonesia,Wisatawan bisnis,,"8,3",“great hotel”,,Diulas pada 02 Juli 2013,Menginap 1 malam pada Juni 2013
1745475234-2242,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rusli,Indonesia,Wisatawan bisnis,,"9,7",“perfect!!”,i love everything in this hotel. as i said this is the best hotel in town,Diulas pada 23 Juni 2013,Menginap 2 malam pada Maret 2013
1745475234-2243,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rusli,Indonesia,Wisatawan bisnis,,"8,3",“nice hotel”,love the garden restaurant so much. perfect location and big room size. this is my favourite hotel in town,Diulas pada 23 Juni 2013,Menginap 1 malam pada Juni 2013
1745475234-2244,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Devraj,Indonesia,Wisatawan bisnis,,"9,3",“Both work and play - why not?”,"As a business traveller, I am on the run. So, to have a comfortable hotel is very important. The fact that I can achieve both relaxing atmosphere and location for work is a big plus point for Bumi. Nice pool, gym, breakfast area with a touch of local authentic feel.",Diulas pada 23 Juni 2013,Menginap 3 malam pada Juni 2013
1745475234-2245,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,David,Prancis,Wisatawan bisnis,,"10,0",“Great hotel”,I had a very pleasure stay at this hotel. Hotel is nice and staff is friendly.,Diulas pada 22 Juni 2013,Menginap 1 malam pada Juni 2013
1745475234-2246,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Wan,Hong Kong,Wisatawan bisnis,,"7,7","“Good location, standard 4 stars hotel, nice staff”",,Diulas pada 02 Juni 2013,Menginap 1 malam pada Maret 2013
1745475234-2247,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Tung,Singapura,Wisatawan bisnis,,"9,0",“Fantastic room and location ”,"Everything is good in terms of restaurant, staff, area, ambiance, greenery except the Internet in the room is not supported well in WIFi",Diulas pada 28 Mei 2013,Menginap 1 malam pada Oktober 2012
